Sentence,Label,ID
"Crowdtangle may change these terms of service, as described above, notwithstanding any provision to the contrary in any agreement between you and crowdtangle.",potentially unfair,0
"You acknowledge that any reliance upon any such introduction, opinion, profile, advice, statement or information and any resulting participation or action shall be at your sole risk.",not potentially unfair,1
"Because the law may or may not recognize certain intellectual property rights in any particular content, you should consult a lawyer if you want legal advice regarding your legal rights in a specific situation.",not potentially unfair,2
"These requirements can be found on the website and the google, apple and amazon app marketplaces.",not potentially unfair,3
Fitbit will not seek its attorneys' fees and costs in arbitration unless the arbitrator determines that your claim is frivolous.,not potentially unfair,4
Tripadvisor does not knowingly collect the information of anyone under the age of 13.,not potentially unfair,5
"V) any content downloaded or otherwise obtained through the use of our resources is done at your own discretion and risk, and that you are solely responsible for any damage to your computer or other devices for any loss of data that may result from the download of such content.",not potentially unfair,6
No oral or written information or advice given by the licensor or its authorized representative shall create a warranty.,not potentially unfair,7
Products that you may acquire via third-party shopping services are not registered to your nintendo account.,not potentially unfair,8
"To the maximum extent permitted by law, we (together with our officers, directors, employees, representatives, affiliates, providers and third parties) do not accept any liability for (a) any inaccuracies or omissions in the content displayed on or via the skyscanner services and/or skyscanner platforms ; or (b) any act of god, accident, delay or any special, exemplary, punitive, indirect, incidental or consequential loss or damage of any kind (including, without limitation, lost profits or lost savings), whether based in contract, tort (including negligence), strict liability or otherwise, incurred by you arising out of or in connection with your access to, use of, or inability to access or use, the skyscanner services and/or skyscanner platforms or any content contained provided therein.",potentially unfair,9
"• you are a small-scale independent production company, non-profit, or artist, in which case you may use the vimeo service to showcase or promote your own creative works.",not potentially unfair,10
7.8 user material is not considered to be confidential.,not potentially unfair,11
You may opt-out of receiving text (sms) messages from uber at any time by following the directions found at http://t.uber.com/sms-unsubscribe.,not potentially unfair,12
The new rate will apply to your next phone call after the new rates have been published.,not potentially unfair,13
Our aim is to provide the best delivery service possible.,not potentially unfair,14
"Supercell may reject, refuse to post or delete any user content for any or no reason, including, but not limited to, user content that in the sole judgment of supercell violates these terms of service.",potentially unfair,15
"Notwithstanding anything to the contrary herein, you acknowledge and agree that you shall have no ownership or other property interest in the account, and you further acknowledge and agree that all rights in and to the account are and shall forever be owned by and inure to the benefit of supercell.",not potentially unfair,16
Such termination or suspension may be immediate and without notice.,not potentially unfair,17
"You are responsible for identifying, understanding, and complying with all laws, rules and regulations that apply to your participation in an experience, event or other host service.",not potentially unfair,18
"F. does not contain any unsolicited or unauthorised advertising, promotional material, ``junk mail'', ``spam'', ``chain letters'', ``pyramid schemes'' or any other form of solicitation ; and ",not potentially unfair,19
We believe that you own your data and preserving your access to such data is important.,not potentially unfair,20
